Total files are count: 553

 file_number: 1, name: 94.JPG, class: Sadi_pridoniya_sok_vishnya, score: 78.10496687889099% 
 file_number: 160, name: 121.JPG, class: Vernel, score: 70.36060690879822% 

 file_number: 161, name: 101.JPG, class: Batjeman_barton, score: 30.551502108573914% 

 file_number: 162, name: 325.JPG, class: Heinz_kasha_tykwa, score: 95.35638689994812% 

 file_number: 163, name: photo_2020-05-11_17-08-38.jpg, class: Prostamol_uno, score: 21.92554920911789% 

 file_number: 164, name: 267.JPG, class: Mens_peris, score: 26.426681876182556% 

 file_number: 165, name: 319.JPG, class: Adlin, score: 88.93318176269531% 

 file_number: 166, name: 260.JPG, class: Fruto_nyanya_apple_banana, score: 90.44888615608215% 

 file_number: 167, name: 75.JPG, class: Sadi_pridoniya_sok_grusha, score: 48.50747287273407% 

 file_number: 168, name: 133.JPG, class: Heinz_kasha_before_sleep, score: 55.90242147445679% 

 file_number: 169, name: photo_2020-05-11_16-58-37.jpg, class: Miratorg, score: 89.87324833869934% 

 file_number: 170, name: photo_2020-05-11_17-05-59.jpg, class: Mistal_grecha, score: 42.00672507286072% 

 file_number: 171, name: photo_2020-05-11_17-09-51.jpg, class: Leps, score: 69.11721229553223% 

 file_number: 172, name: photo_2020-05-11_17-08-14.jpg, class: Mistal_ris_indika, score: 95.76249718666077% 

 file_number: 173, name: 95.JPG, class: Sanitaizer_zero, score: 46.14219665527344% 

 file_number: 174, name: 183.JPG, class: Sadi_pridoniya_pure_apple, score: 43.11465620994568% 

 file_number: 175, name: 349.JPG, class: Dom_v_kotorom, score: 68.63070726394653% 

 file_number: 176, name: photo_2020-05-11_17-02-06.jpg, class: MKB_Filippenkov, score: 70.4938292503357% 

 file_number: 177, name: photo_2020-05-11_17-09-12.jpg, class: Tequila, score: 92.3755407333374% 

 file_number: 178, name: 68.JPG, class: Sadaka_tea, score: 88.9666736125946% 

 file_number: 179, name: photo_2020-05-11_17-00-55.jpg, class: MiT_Losev, score: 93.73241662979126% 

 file_number: 180, name: 145.JPG, class: Tide, score: 35.964661836624146% 

